"";"signalPnotm";"signalPtm";"predsi";"phobius"
"53";FALSE;FALSE;FALSE;FALSE
"54";FALSE;FALSE;FALSE;FALSE
"55";FALSE;FALSE;FALSE;FALSE
"56";FALSE;FALSE;FALSE;FALSE
"57";FALSE;FALSE;FALSE;FALSE
"58";TRUE;TRUE;TRUE;TRUE
"59";TRUE;TRUE;TRUE;TRUE
"60";TRUE;TRUE;TRUE;TRUE
"61";TRUE;TRUE;TRUE;TRUE
"62";TRUE;TRUE;TRUE;TRUE
"63";TRUE;TRUE;TRUE;TRUE
"64";TRUE;TRUE;TRUE;TRUE
"65";TRUE;TRUE;TRUE;TRUE
"66";TRUE;TRUE;TRUE;TRUE
"67";TRUE;TRUE;FALSE;TRUE
"68";TRUE;TRUE;FALSE;TRUE
"69";TRUE;TRUE;FALSE;TRUE
"70";FALSE;FALSE;FALSE;FALSE
"71";TRUE;TRUE;FALSE;TRUE
"72";TRUE;FALSE;FALSE;TRUE
"73";TRUE;FALSE;FALSE;FALSE
"74";TRUE;TRUE;TRUE;TRUE
"75";TRUE;FALSE;FALSE;FALSE
"76";FALSE;FALSE;FALSE;FALSE
"77";TRUE;TRUE;FALSE;TRUE
"78";TRUE;FALSE;FALSE;TRUE
"79";TRUE;TRUE;TRUE;TRUE
"80";TRUE;TRUE;FALSE;TRUE
"81";FALSE;FALSE;FALSE;FALSE
"82";FALSE;FALSE;FALSE;FALSE
"83";TRUE;TRUE;FALSE;TRUE
"84";TRUE;FALSE;FALSE;FALSE
"85";TRUE;FALSE;FALSE;FALSE
"86";FALSE;FALSE;FALSE;TRUE
"87";TRUE;TRUE;TRUE;TRUE
"88";TRUE;TRUE;TRUE;TRUE
"89";TRUE;TRUE;TRUE;TRUE
"90";TRUE;TRUE;TRUE;TRUE
"91";TRUE;TRUE;FALSE;FALSE
"92";TRUE;TRUE;TRUE;TRUE
"93";TRUE;TRUE;FALSE;TRUE
"94";TRUE;TRUE;FALSE;TRUE
"95";TRUE;FALSE;FALSE;TRUE
"96";TRUE;TRUE;FALSE;TRUE
"97";TRUE;TRUE;FALSE;TRUE
"98";TRUE;TRUE;TRUE;TRUE
"99";TRUE;TRUE;TRUE;TRUE
"100";TRUE;FALSE;FALSE;FALSE
"101";TRUE;TRUE;FALSE;FALSE
"102";TRUE;TRUE;TRUE;TRUE
"103";FALSE;FALSE;FALSE;FALSE
"104";FALSE;FALSE;FALSE;FALSE
"105";FALSE;FALSE;FALSE;FALSE
"106";FALSE;FALSE;FALSE;FALSE
"107";FALSE;FALSE;FALSE;FALSE
"108";FALSE;FALSE;FALSE;FALSE
"109";TRUE;FALSE;TRUE;TRUE
"110";FALSE;FALSE;FALSE;FALSE
"111";FALSE;FALSE;FALSE;FALSE
"112";FALSE;FALSE;FALSE;FALSE
"113";FALSE;FALSE;FALSE;FALSE
"114";FALSE;FALSE;FALSE;FALSE
"115";FALSE;FALSE;FALSE;FALSE
"116";FALSE;FALSE;FALSE;FALSE
"117";FALSE;FALSE;FALSE;FALSE
"118";FALSE;FALSE;FALSE;FALSE
"119";FALSE;FALSE;FALSE;FALSE
"120";FALSE;FALSE;FALSE;FALSE
"121";FALSE;FALSE;FALSE;FALSE
"122";FALSE;FALSE;FALSE;FALSE
"123";FALSE;FALSE;FALSE;FALSE
"124";FALSE;FALSE;FALSE;FALSE
"125";FALSE;FALSE;FALSE;FALSE
"126";FALSE;FALSE;FALSE;FALSE
"127";FALSE;FALSE;FALSE;FALSE
"128";FALSE;FALSE;FALSE;FALSE
"129";FALSE;FALSE;FALSE;FALSE
"130";FALSE;FALSE;FALSE;FALSE
"131";FALSE;FALSE;FALSE;FALSE
"132";TRUE;TRUE;FALSE;TRUE
"133";FALSE;FALSE;FALSE;FALSE
"134";TRUE;TRUE;FALSE;TRUE
"135";FALSE;FALSE;FALSE;FALSE
"136";FALSE;FALSE;FALSE;FALSE
"137";FALSE;FALSE;FALSE;FALSE
"138";FALSE;FALSE;FALSE;FALSE
"139";FALSE;FALSE;FALSE;FALSE
"140";FALSE;FALSE;FALSE;FALSE
"141";FALSE;FALSE;FALSE;FALSE
"142";FALSE;FALSE;FALSE;FALSE
"143";FALSE;FALSE;FALSE;FALSE
"144";FALSE;FALSE;FALSE;FALSE
"145";FALSE;FALSE;FALSE;FALSE
"146";FALSE;FALSE;FALSE;FALSE
"147";FALSE;FALSE;FALSE;FALSE
"148";FALSE;FALSE;FALSE;FALSE
"149";FALSE;FALSE;FALSE;FALSE
"150";FALSE;FALSE;FALSE;FALSE
"151";FALSE;FALSE;FALSE;FALSE
"152";FALSE;FALSE;FALSE;FALSE
"153";FALSE;FALSE;FALSE;FALSE
"154";FALSE;FALSE;FALSE;FALSE
"155";FALSE;FALSE;FALSE;FALSE
"156";FALSE;FALSE;FALSE;FALSE
"157";FALSE;FALSE;FALSE;FALSE
"158";FALSE;FALSE;FALSE;FALSE
"159";FALSE;FALSE;FALSE;FALSE
"160";FALSE;FALSE;FALSE;FALSE
"161";FALSE;FALSE;FALSE;FALSE
"162";FALSE;FALSE;FALSE;FALSE
"163";FALSE;FALSE;FALSE;FALSE
"164";FALSE;FALSE;FALSE;FALSE
"165";TRUE;FALSE;FALSE;FALSE
"166";FALSE;FALSE;FALSE;FALSE
"167";FALSE;FALSE;FALSE;FALSE
"168";FALSE;FALSE;FALSE;FALSE
"169";FALSE;FALSE;FALSE;FALSE
"170";FALSE;FALSE;FALSE;FALSE
"171";FALSE;FALSE;FALSE;FALSE
"172";FALSE;FALSE;FALSE;FALSE
"173";FALSE;FALSE;FALSE;FALSE
"174";FALSE;FALSE;FALSE;FALSE
"175";FALSE;FALSE;FALSE;FALSE
"176";FALSE;FALSE;FALSE;FALSE
"177";FALSE;FALSE;FALSE;FALSE
"178";FALSE;FALSE;FALSE;FALSE
"179";FALSE;FALSE;FALSE;FALSE
"180";FALSE;FALSE;FALSE;FALSE
"181";TRUE;TRUE;TRUE;TRUE
"182";FALSE;FALSE;FALSE;FALSE
"183";FALSE;FALSE;FALSE;FALSE
"184";FALSE;FALSE;FALSE;FALSE
"185";FALSE;FALSE;FALSE;FALSE
"186";FALSE;FALSE;FALSE;FALSE
"187";FALSE;FALSE;TRUE;FALSE
"188";FALSE;FALSE;FALSE;FALSE
"189";FALSE;FALSE;FALSE;FALSE
"190";FALSE;FALSE;FALSE;FALSE
"191";FALSE;FALSE;FALSE;FALSE
"192";FALSE;FALSE;FALSE;FALSE
"193";FALSE;FALSE;FALSE;FALSE
"194";FALSE;FALSE;FALSE;FALSE
"195";FALSE;FALSE;FALSE;FALSE
"196";FALSE;FALSE;FALSE;FALSE
"197";TRUE;TRUE;TRUE;TRUE
"198";TRUE;TRUE;TRUE;TRUE
"199";TRUE;TRUE;TRUE;TRUE
"200";FALSE;FALSE;FALSE;FALSE
"201";FALSE;FALSE;TRUE;FALSE
"202";FALSE;FALSE;FALSE;FALSE
"203";FALSE;FALSE;TRUE;FALSE
"204";FALSE;FALSE;FALSE;FALSE
"205";FALSE;FALSE;TRUE;FALSE
"206";FALSE;FALSE;FALSE;FALSE
"207";FALSE;FALSE;FALSE;FALSE
"208";FALSE;FALSE;FALSE;FALSE
"209";FALSE;FALSE;FALSE;FALSE
"210";FALSE;FALSE;FALSE;FALSE
"211";FALSE;FALSE;FALSE;FALSE
"212";FALSE;FALSE;FALSE;FALSE
"213";FALSE;FALSE;FALSE;FALSE
"214";FALSE;FALSE;FALSE;FALSE
"215";FALSE;FALSE;FALSE;FALSE
"216";FALSE;FALSE;FALSE;FALSE
"217";FALSE;FALSE;FALSE;FALSE
"218";FALSE;FALSE;FALSE;FALSE
"219";FALSE;FALSE;FALSE;FALSE
"220";FALSE;FALSE;FALSE;FALSE
"221";FALSE;FALSE;FALSE;FALSE
"222";TRUE;TRUE;FALSE;TRUE
"223";FALSE;FALSE;FALSE;FALSE
"224";TRUE;TRUE;TRUE;TRUE
"225";TRUE;TRUE;FALSE;TRUE
"226";TRUE;TRUE;FALSE;TRUE
"227";FALSE;FALSE;FALSE;FALSE
"228";FALSE;FALSE;FALSE;FALSE
"229";FALSE;FALSE;FALSE;FALSE
"230";FALSE;FALSE;FALSE;FALSE
"231";FALSE;FALSE;FALSE;FALSE
"232";FALSE;FALSE;FALSE;FALSE
"233";FALSE;FALSE;FALSE;FALSE
"234";TRUE;TRUE;TRUE;TRUE
"235";FALSE;FALSE;FALSE;FALSE
"236";FALSE;FALSE;FALSE;FALSE
"237";FALSE;FALSE;FALSE;FALSE
"238";FALSE;FALSE;FALSE;FALSE
"239";FALSE;FALSE;FALSE;FALSE
"240";FALSE;FALSE;FALSE;FALSE
"241";FALSE;FALSE;FALSE;FALSE
"242";FALSE;FALSE;FALSE;FALSE
"243";FALSE;FALSE;FALSE;FALSE
"244";TRUE;TRUE;TRUE;TRUE
"245";FALSE;FALSE;FALSE;FALSE
"246";FALSE;FALSE;FALSE;FALSE
"247";FALSE;FALSE;FALSE;FALSE
"248";FALSE;FALSE;FALSE;FALSE
"249";FALSE;FALSE;FALSE;FALSE
"250";FALSE;FALSE;FALSE;FALSE
"251";FALSE;FALSE;FALSE;FALSE
"252";FALSE;FALSE;FALSE;FALSE
"253";FALSE;FALSE;FALSE;FALSE
"254";TRUE;FALSE;FALSE;TRUE
"255";TRUE;TRUE;FALSE;TRUE
"256";TRUE;FALSE;FALSE;FALSE
"257";TRUE;FALSE;FALSE;TRUE
"258";TRUE;FALSE;TRUE;TRUE
"259";FALSE;FALSE;FALSE;FALSE
"260";FALSE;FALSE;FALSE;FALSE
"261";FALSE;FALSE;FALSE;FALSE
"262";FALSE;FALSE;FALSE;FALSE
"263";FALSE;FALSE;FALSE;FALSE
"264";FALSE;FALSE;FALSE;FALSE
"265";FALSE;FALSE;FALSE;FALSE
"266";TRUE;TRUE;FALSE;TRUE
"267";TRUE;TRUE;FALSE;TRUE
"268";FALSE;FALSE;FALSE;FALSE
"269";FALSE;FALSE;FALSE;FALSE
"270";FALSE;FALSE;FALSE;FALSE
"271";FALSE;FALSE;FALSE;FALSE
"272";FALSE;FALSE;FALSE;FALSE
"273";FALSE;FALSE;FALSE;FALSE
"274";FALSE;FALSE;FALSE;FALSE
"275";FALSE;FALSE;FALSE;FALSE
"276";FALSE;FALSE;FALSE;FALSE
"277";FALSE;FALSE;FALSE;FALSE
"278";FALSE;FALSE;FALSE;FALSE
"279";FALSE;FALSE;FALSE;FALSE
"280";FALSE;FALSE;FALSE;FALSE
"281";FALSE;FALSE;FALSE;FALSE
"282";TRUE;FALSE;TRUE;TRUE
"283";TRUE;FALSE;TRUE;TRUE
"284";FALSE;FALSE;FALSE;FALSE
"285";FALSE;FALSE;FALSE;FALSE
"286";FALSE;FALSE;FALSE;FALSE
"287";FALSE;FALSE;FALSE;FALSE
"288";FALSE;FALSE;FALSE;FALSE
"289";FALSE;FALSE;FALSE;FALSE
"290";FALSE;FALSE;FALSE;FALSE
"291";FALSE;FALSE;FALSE;FALSE
"292";FALSE;FALSE;FALSE;FALSE
"293";FALSE;FALSE;FALSE;FALSE
"294";FALSE;FALSE;FALSE;TRUE
"295";FALSE;FALSE;FALSE;FALSE
"296";FALSE;FALSE;FALSE;FALSE
"297";FALSE;FALSE;FALSE;FALSE
"298";FALSE;FALSE;FALSE;FALSE
"299";FALSE;FALSE;FALSE;FALSE
"300";FALSE;FALSE;FALSE;FALSE
"301";FALSE;FALSE;FALSE;FALSE
"302";FALSE;FALSE;FALSE;FALSE
"303";TRUE;TRUE;FALSE;TRUE
"304";TRUE;TRUE;FALSE;TRUE
"305";FALSE;FALSE;FALSE;FALSE
"306";FALSE;FALSE;FALSE;FALSE
"307";FALSE;FALSE;FALSE;FALSE
"308";FALSE;FALSE;FALSE;FALSE
"309";FALSE;FALSE;FALSE;FALSE
"310";FALSE;FALSE;FALSE;FALSE
"311";FALSE;FALSE;FALSE;FALSE
"312";FALSE;FALSE;FALSE;FALSE
"313";FALSE;FALSE;FALSE;FALSE
"314";FALSE;FALSE;FALSE;FALSE
"315";FALSE;FALSE;FALSE;FALSE
"316";FALSE;FALSE;FALSE;FALSE
"317";FALSE;FALSE;FALSE;FALSE
"318";FALSE;FALSE;FALSE;FALSE
"319";FALSE;FALSE;FALSE;FALSE
"320";FALSE;FALSE;FALSE;FALSE
"321";FALSE;FALSE;FALSE;FALSE
"322";FALSE;FALSE;FALSE;FALSE
"323";FALSE;FALSE;FALSE;FALSE
"324";FALSE;FALSE;FALSE;FALSE
"325";FALSE;FALSE;FALSE;FALSE
"326";FALSE;FALSE;FALSE;FALSE
"327";FALSE;FALSE;FALSE;FALSE
"328";FALSE;FALSE;FALSE;FALSE
"329";FALSE;FALSE;FALSE;FALSE
"330";FALSE;FALSE;FALSE;FALSE
"331";TRUE;TRUE;FALSE;FALSE
"332";FALSE;FALSE;FALSE;FALSE
"333";FALSE;FALSE;FALSE;FALSE
"334";FALSE;FALSE;FALSE;FALSE
"335";FALSE;FALSE;FALSE;FALSE
"336";FALSE;FALSE;FALSE;FALSE
"337";FALSE;FALSE;FALSE;FALSE
"338";FALSE;FALSE;FALSE;FALSE
"339";FALSE;FALSE;FALSE;FALSE
"340";FALSE;FALSE;FALSE;FALSE
"341";TRUE;FALSE;FALSE;FALSE
"342";FALSE;FALSE;FALSE;FALSE
"343";FALSE;FALSE;FALSE;FALSE
"344";FALSE;FALSE;FALSE;FALSE
"345";FALSE;FALSE;FALSE;FALSE
"346";FALSE;FALSE;FALSE;FALSE
"347";FALSE;FALSE;FALSE;FALSE
"348";FALSE;FALSE;FALSE;FALSE
"349";FALSE;FALSE;FALSE;FALSE
"350";FALSE;FALSE;FALSE;FALSE
"351";FALSE;FALSE;FALSE;FALSE
"352";FALSE;FALSE;FALSE;FALSE
"353";FALSE;FALSE;FALSE;FALSE
"354";FALSE;FALSE;FALSE;FALSE
"355";FALSE;FALSE;FALSE;FALSE
"356";FALSE;FALSE;FALSE;FALSE
"357";FALSE;FALSE;FALSE;FALSE
"358";FALSE;FALSE;FALSE;FALSE
"359";FALSE;FALSE;FALSE;FALSE
"360";FALSE;FALSE;FALSE;FALSE
"361";FALSE;FALSE;FALSE;FALSE
"362";FALSE;FALSE;FALSE;FALSE
"363";FALSE;FALSE;FALSE;FALSE
"364";FALSE;FALSE;FALSE;FALSE
"365";FALSE;FALSE;FALSE;FALSE
"366";FALSE;FALSE;FALSE;FALSE
"367";FALSE;FALSE;FALSE;FALSE
"368";FALSE;FALSE;FALSE;FALSE
"369";FALSE;FALSE;FALSE;FALSE
"370";FALSE;FALSE;FALSE;FALSE
"371";FALSE;FALSE;FALSE;FALSE
"372";FALSE;FALSE;FALSE;FALSE
"373";FALSE;FALSE;FALSE;FALSE
"374";FALSE;FALSE;FALSE;FALSE
"375";FALSE;FALSE;FALSE;FALSE
"376";FALSE;FALSE;FALSE;FALSE
"377";TRUE;TRUE;FALSE;TRUE
"378";TRUE;TRUE;FALSE;TRUE
"379";TRUE;FALSE;FALSE;FALSE
"380";TRUE;FALSE;FALSE;TRUE
"381";FALSE;FALSE;FALSE;FALSE
"382";FALSE;FALSE;FALSE;FALSE
"383";FALSE;FALSE;FALSE;FALSE
"384";FALSE;FALSE;FALSE;FALSE
"385";FALSE;FALSE;FALSE;FALSE
"386";FALSE;FALSE;FALSE;FALSE
"387";FALSE;FALSE;FALSE;FALSE
"388";FALSE;FALSE;FALSE;FALSE
"389";FALSE;FALSE;FALSE;FALSE
"390";FALSE;FALSE;FALSE;FALSE
"391";FALSE;FALSE;FALSE;FALSE
"392";FALSE;FALSE;FALSE;FALSE
"393";FALSE;FALSE;FALSE;FALSE
"394";FALSE;FALSE;FALSE;FALSE
"395";FALSE;FALSE;FALSE;FALSE
"396";FALSE;FALSE;FALSE;FALSE
"397";FALSE;FALSE;FALSE;FALSE
"398";TRUE;TRUE;FALSE;TRUE
"399";FALSE;FALSE;FALSE;FALSE
"400";FALSE;FALSE;FALSE;FALSE
"401";FALSE;FALSE;FALSE;FALSE
"402";FALSE;FALSE;FALSE;FALSE
"403";FALSE;FALSE;FALSE;FALSE
"404";FALSE;FALSE;FALSE;FALSE
"405";FALSE;FALSE;FALSE;FALSE
"406";FALSE;FALSE;FALSE;FALSE
"407";FALSE;FALSE;FALSE;FALSE
"408";FALSE;FALSE;FALSE;FALSE
"409";FALSE;FALSE;FALSE;FALSE
"410";FALSE;FALSE;FALSE;FALSE
"411";FALSE;FALSE;FALSE;FALSE
"412";FALSE;FALSE;FALSE;FALSE
"413";FALSE;FALSE;FALSE;FALSE
"414";FALSE;FALSE;FALSE;FALSE
"415";FALSE;FALSE;FALSE;FALSE
"416";FALSE;FALSE;FALSE;FALSE
"417";FALSE;FALSE;FALSE;FALSE
"418";FALSE;FALSE;FALSE;FALSE
"419";TRUE;TRUE;TRUE;TRUE
"420";FALSE;FALSE;FALSE;FALSE
"421";TRUE;FALSE;TRUE;TRUE
"422";FALSE;FALSE;FALSE;FALSE
"423";FALSE;FALSE;FALSE;FALSE
"424";FALSE;FALSE;FALSE;FALSE
"425";FALSE;FALSE;FALSE;FALSE
"426";FALSE;FALSE;FALSE;FALSE
"427";FALSE;FALSE;FALSE;FALSE
"428";FALSE;FALSE;FALSE;FALSE
"429";FALSE;FALSE;FALSE;FALSE
"430";FALSE;FALSE;FALSE;FALSE
"431";FALSE;FALSE;FALSE;FALSE
"432";FALSE;FALSE;FALSE;FALSE
"433";FALSE;FALSE;FALSE;FALSE
"434";FALSE;FALSE;FALSE;FALSE
"435";FALSE;FALSE;FALSE;FALSE
"436";TRUE;FALSE;TRUE;FALSE
"437";FALSE;FALSE;FALSE;FALSE
"438";FALSE;FALSE;FALSE;FALSE
"439";FALSE;FALSE;FALSE;FALSE
"440";TRUE;FALSE;FALSE;FALSE
"441";FALSE;FALSE;FALSE;FALSE
"442";TRUE;FALSE;TRUE;FALSE
"443";FALSE;FALSE;FALSE;FALSE
"444";FALSE;FALSE;FALSE;FALSE
"445";FALSE;FALSE;FALSE;FALSE
"446";FALSE;FALSE;FALSE;FALSE
"447";FALSE;FALSE;FALSE;FALSE
"448";FALSE;FALSE;FALSE;FALSE
"449";FALSE;FALSE;FALSE;FALSE
"450";FALSE;FALSE;FALSE;FALSE
"451";FALSE;FALSE;FALSE;FALSE
"452";FALSE;FALSE;FALSE;FALSE
"453";FALSE;FALSE;FALSE;FALSE
"454";FALSE;FALSE;FALSE;FALSE
"455";FALSE;FALSE;FALSE;FALSE
"456";FALSE;FALSE;FALSE;FALSE
"457";FALSE;FALSE;FALSE;FALSE
"458";FALSE;FALSE;FALSE;FALSE
"459";FALSE;FALSE;FALSE;FALSE
"460";FALSE;FALSE;FALSE;FALSE
